... if she/he stays with the first choice (door 1)?  In ____ out of 3 cases (Fill in the blank below),... if she/he switches to the last remaining door?  In ____ out of 3 cases (Fill in the blank below),What should the contestant therefore do?,What should the contestant therefore do? - Display Order,"After Monty Hall has opened a ""goat-door,"" what should you do?","After Monty Hall has opened a ""goat-door,"" what should you do? - Display Order","In the earlier scenario, how many doors were there in total (including either opened or unopened doors)?","Important



Please also tell us in writing what went on in your head when you made your decision.",Please also tell us if you were already familiar with this game:,Please also tell us if you already knew what the correct answer should be:,Mturkcode,correctjustification,FL_3 - Block Randomizer - Display Order
,,,,switch,stay|switch,,,,,,incorrect,Controlcondition
0,2,switch,switch|stay,,,3 doors in total,"I thought about how if it wasn't the first door, then it had to be the other two.",I was not familiar with this game,I did not already know what the correct answer should be,598091145,incorrect,Experimentalcondition
,,,,switch,switch|stay,3 doors in total,It seemed to be random just take the other one.,I was not familiar with this game,I did not already know what the correct answer should be,955935473,incorrect,Controlcondition
,,,,stay,switch|stay,3 doors in total,what could I gain if I chose door # 2,I was familiar with this game,I did not already know what the correct answer should be,585526978,incorrect,Controlcondition
1,1,switch,stay|switch,,,3 doors in total,I think switching is better because the host opens a door which is automatically wrong.,I was not familiar with this game,I did not already know what the correct answer should be,470970005,incorrect,Experimentalcondition
,,,,stay,stay|switch,3 doors in total,I knew what door 3 was so I opted to stay with door one.,I was familiar with this game,I did not already know what the correct answer should be,506240611,incorrect,Controlcondition
1,1,stay,switch|stay,,,3 doors in total,I had to re-read it a few times. I don't think switching doors makes a difference in the chances since the contestant doesn't know which door is the winner.,I was not familiar with this game,I did not already know what the correct answer should be,377340539,incorrect,Experimentalcondition
1,1,stay,stay|switch,,,3 doors in total,They would have a 1/3 either way.,I was familiar with this game,I did not already know what the correct answer should be,453411595,incorrect,Experimentalcondition
,,,,switch,stay|switch,3 doors in total,The thing that went through my head was I needed to switch because I didnt want the goat and if I switched I had a 50% chance of getting the car.,I was familiar with this game,I did not already know what the correct answer should be,351893239,incorrect,Controlcondition
,,,,stay,stay|switch,3 doors in total,I just wanted to stick with my first choice. I guess I'd regret changing it if I lost.,I was not familiar with this game,I did not already know what the correct answer should be,218399436,incorrect,Controlcondition
1,2,switch,stay|switch,,,3 doors in total,Your initial selection of 1 of the 3 doors has a 1 in 3 chance of being correct. The host then reveals one of the goat doors which then makes it a 50/50 chance that your selection would be the car. Thus it is advantageous to switch. ,I was familiar with this game,I did not already know what the correct answer should be,870202181,incorrect,Experimentalcondition
1,1,switch,stay|switch,,,3 doors in total,thinking about this game.,I was not familiar with this game,I did not already know what the correct answer should be,574421964,incorrect,Experimentalcondition
,,,,,,,,,,,incorrect,Controlcondition
,,,,switch,switch|stay,3 doors in total,This wasn't really a 50/50 option. Staying meant a guaranteed random option while the other option was curated and have a statistically higher chance to reveal the prize. ,I was familiar with this game,I already knew what the correct answer should be,739714501,incorrect,Controlcondition
,,,,switch,switch|stay,3 doors in total,Statistically it is in your best interest to switch doors,I was familiar with this game,I already knew what the correct answer should be,307920469,incorrect,Controlcondition
,,,,stay,stay|switch,3 doors in total,"Obviously no matter what he's not going to open the door with the car in it, so it makes sense to stay as at that point you have a 50/50 chance to win the car by either staying or switching. Actually, by that logic switching is fine, too, but I say go with your gut and stay put. ",I was familiar with this game,I did not already know what the correct answer should be,576787657,incorrect,Controlcondition
1,2,switch,switch|stay,,,3 doors in total,I can stay with my first choice or switches to the last remaining door. Let me see what will happen after open another door.,I was familiar with this game,I did not already know what the correct answer should be,110742582,incorrect,Experimentalcondition
1,1,stay,switch|stay,,,3 doors in total,If I open the send door and shows a goat in it. Contestant become more curious and think that I was made right decision to choose door 1 and I think content will stay and not switch to another door.,I was not familiar with this game,I did not already know what the correct answer should be,480868540,incorrect,Experimentalcondition
,,,,switch,stay|switch,3 doors in total,I thought I might have a better chance with door 2.,I was familiar with this game,I did not already know what the correct answer should be,793598761,incorrect,Controlcondition
,,,,stay,switch|stay,3 doors in total,My initial instinct was to stay with my first choice so I decided to stick with it.,I was familiar with this game,I already knew what the correct answer should be,402200379,incorrect,Controlcondition
GOAT DOOR,GOAT DOOR,switch,switch|stay,,,2 doors in total,"Brain makes decisions before you even know it. Brain activity predicts decisions before they are consciously made. ... By looking at brain activity while making a decision, the researchers could predict what choice people would make before they themselves were even aware of having made a decision.",I was familiar with this game,I already knew what the correct answer should be,193262429,incorrect,Experimentalcondition
