StartDate,EndDate,,,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,,,DistributionChannel,UserLanguage,Q7,Q9,Q10,Q10_DO,Q20,Q20_DO,Q28,Q14,Q15,Q16,Q18,FL_3_DO
10/31/2018 15:28,10/31/2018 15:36,,,100,470,TRUE,10/31/2018 15:36,R_2fm8RVwa1ckWVPn,,,,,,,anonymous,EN,,,,,stay,stay|switch,"You already know at least one of the two goats was behind an unchosen door, so you only learned which unchosen door would be eliminated for the second round. You're free to switch to door 2, but it's not the case that you should. The only thing you should do is not switch to door 3.",I was not familiar with this game,I did not already know what the correct answer should be,Clear and comprehensible,"If there's a *correct* answer, I'm worse at this kind of reasoning than I thought, and I should probably do something else with my life",Controlcondition
10/31/2018 15:34,10/31/2018 15:37,,,100,178,TRUE,10/31/2018 15:37,R_3PRYkotwR6CFYAR,,,,,,,anonymous,EN,,,,,switch,stay|switch,"Before he reveals the goat, there's a 1/3 chance I picked the right door. After, if you switch you get a 1/2 chance",I was not familiar with this game,I did not already know what the correct answer should be,Clear and comprehensible,,Controlcondition
10/31/2018 15:51,10/31/2018 15:53,,,100,159,TRUE,10/31/2018 15:53,R_xc0szDybVABRKw1,,,,,,,anonymous,EN,1,1,stay,switch|stay,,,"Working out a chance of between 1 car behind 3 doors, seemed to be 1 out of 3 regardless ",I was not familiar with this game,I did not already know what the correct answer should be,Clear and comprehensible,,Experimentalcondition
10/31/2018 15:57,10/31/2018 15:58,,,100,57,TRUE,10/31/2018 15:58,R_2s7QPiU7gzznfIO,,,,,,,anonymous,EN,1,2,switch,stay|switch,,,Seen this shit,I was familiar with this game,I already knew what the correct answer should be,Clear and comprehensible,Nah,Experimentalcondition
10/31/2018 16:10,10/31/2018 16:11,,,100,82,TRUE,10/31/2018 16:11,R_2R8QB7oEfa7Kfhn,,,,,,,anonymous,EN,,,,,,stay|switch,Follow my first instinct ,I was not familiar with this game,I did not already know what the correct answer should be,Clear and comprehensible,,Controlcondition
10/31/2018 17:50,10/31/2018 17:51,,,100,98,TRUE,10/31/2018 17:51,R_b1HAzkZW4gEzRSh,,,,,,,anonymous,EN,,,,,stay,stay|switch,I would have chosen the first door based on instinct and would continue to trust my instinct. ,I was not familiar with this game,I did not already know what the correct answer should be,Clear and comprehensible,,Controlcondition
10/31/2018 18:59,10/31/2018 19:01,,,100,121,TRUE,10/31/2018 19:01,R_3sbR7ccNreoNBcl,,,,,,,anonymous,EN,,,,,switch,switch|stay,Half choice is better than a third ,I was familiar with this game,I already knew what the correct answer should be,Clear and comprehensible,,Controlcondition
10/31/2018 19:00,10/31/2018 19:01,,,100,112,TRUE,10/31/2018 19:02,R_3CKr1JIeFGYucQe,,,,,,,anonymous,EN,1,1,stay,switch|stay,,,Basic probability ,I was not familiar with this game,I did not already know what the correct answer should be,Clear and comprehensible,,Experimentalcondition
10/31/2018 22:21,10/31/2018 22:28,,,100,399,TRUE,10/31/2018 22:28,R_3KqJKlcOIihgmr1,,,,,,,anonymous,EN,1,2,switch,stay|switch,,,1/3 of chances on first pick but 2/3 chances on the last unopened door since the open one has 0/3,I was familiar with this game,I already knew what the correct answer should be,Not clear and comprehensible,I was not entirely sure about the wording of the probability questions. In how many cases... = what is the probability that..?,Experimentalcondition
11/1/2018 6:12,11/1/2018 6:15,,,100,182,TRUE,11/1/2018 6:15,R_qQ2GVDkU6SxWbG9,,,,,,,anonymous,EN,1,1.5,switch,stay|switch,,,Conditional probability,I was familiar with this game,I already knew what the correct answer should be,Clear and comprehensible,,Experimentalcondition
11/1/2018 9:09,11/1/2018 9:13,,,100,230,TRUE,11/1/2018 9:13,R_TiJ9aCDllPDNYFX,,,,,,,anonymous,EN,2,2,stay,switch|stay,,,I tried to think th possibilities available after a door that was not nb 1 was open,I was not familiar with this game,I did not already know what the correct answer should be,Not clear and comprehensible,I didn’t quite understand the phrasing of the questions,Experimentalcondition
11/1/2018 15:20,11/1/2018 15:26,,,100,322,TRUE,11/1/2018 15:26,R_qXyFjR2vQXMUShb,,,,,,,anonymous,EN,1.5,1.5,stay,stay|switch,,,"Monty's opening the goat door renders the likelihood that each of the remaining doors hides the car to 50/50, so it makes no difference whether to stay or shift. If it makes no difference, then stay. ",I was not familiar with this game,I did not already know what the correct answer should be,Clear and comprehensible,,Experimentalcondition
11/1/2018 19:21,11/1/2018 19:25,,,100,226,TRUE,11/1/2018 19:25,R_T25ZyrEA8IlsFnX,,,,,,,anonymous,EN,1,1,switch,stay|switch,,,"the first time he has a 1/3 chances in choosing the car. after 1 of the goats is shown, if he changed his choice, he has a *2/3 chance of choosing the car ",I was familiar with this game,I already knew what the correct answer should be,Clear and comprehensible,,Experimentalcondition
